agent_id,start_node,target_node,earliest_departure,preferred_arrival,latest_arrival,move_interval,train_class,wait_cost,tardiness_cost,prox_weight,spacing_weight,desired_spacing
38,316,317,32,46,63,1,regional,0.2,1.0,0.8,0.18,2.0
39,318,319,33,49,69,1,regional,0.18,0.9,0.8,0.18,2.0
40,344,345,0,14,31,1,express,0.2,1.2,0.8,0.18,2.0
41,346,347,1,17,37,1,regional,0.18,1.0,0.8,0.18,2.0
42,348,349,24,38,55,1,regional,0.2,1.0,0.8,0.18,2.0
43,350,351,25,41,61,1,regional,0.18,0.9,0.8,0.18,2.0
44,376,377,2,16,33,1,express,0.2,1.2,0.8,0.18,2.0
45,378,379,3,19,39,1,regional,0.18,1.0,0.8,0.18,2.0
46,380,381,26,40,57,1,regional,0.2,1.0,0.8,0.18,2.0
47,382,383,27,43,63,1,regional,0.18,0.9,0.8,0.18,2.0
48,408,409,4,18,35,1,express,0.2,1.2,0.8,0.18,2.0
49,410,411,5,21,41,2,freight,0.18,1.0,0.8,0.18,2.0
50,412,413,28,42,59,1,regional,0.2,1.0,0.8,0.18,2.0
51,414,415,29,45,65,2,slow_freight,0.18,0.9,0.8,0.18,2.0
52,440,441,6,20,37,1,express,0.2,1.2,0.8,0.18,2.0
53,442,443,7,23,43,1,regional,0.18,1.0,0.8,0.18,2.0
54,444,445,30,44,61,1,regional,0.2,1.0,0.8,0.18,2.0
55,446,447,31,47,67,1,regional,0.18,0.9,0.8,0.18,2.0
56,472,473,8,22,39,1,express,0.2,1.2,0.8,0.18,2.0
57,474,475,9,25,45,1,regional,0.18,1.0,0.8,0.18,2.0
58,476,477,32,46,63,1,regional,0.2,1.0,0.8,0.18,2.0
59,478,479,33,49,69,1,regional,0.18,0.9,0.8,0.18,2.0
60,504,505,0,14,31,1,express,0.2,1.2,0.8,0.18,2.0
61,506,507,1,17,37,2,freight,0.18,1.0,0.8,0.18,2.0
62,508,509,24,38,55,1,regional,0.2,1.0,0.8,0.18,2.0
63,510,511,25,41,61,1,regional,0.18,0.9,0.8,0.18,2.0
64,536,537,2,16,33,1,express,0.2,1.2,0.8,0.18,2.0
65,538,539,3,19,39,1,regional,0.18,1.0,0.8,0.18,2.0
66,540,541,26,40,57,1,regional,0.2,1.0,0.8,0.18,2.0
67,542,543,27,43,63,2,slow_freight,0.18,0.9,0.8,0.18,2.0
68,568,569,4,18,35,1,express,0.2,1.2,0.8,0.18,2.0
69,570,571,5,21,41,1,regional,0.18,1.0,0.8,0.18,2.0
70,572,573,28,42,59,1,regional,0.2,1.0,0.8,0.18,2.0
71,574,575,29,45,65,1,regional,0.18,0.9,0.8,0.18,2.0
72,600,601,6,20,37,1,express,0.2,1.2,0.8,0.18,2.0
73,602,603,7,23,43,2,freight,0.18,1.0,0.8,0.18,2.0
74,604,605,30,44,61,1,regional,0.2,1.0,0.8,0.18,2.0
75,606,607,31,47,67,1,regional,0.18,0.9,0.8,0.18,2.0
76,632,633,8,22,39,1,express,0.2,1.2,0.8,0.18,2.0
77,634,635,9,25,45,1,regional,0.18,1.0,0.8,0.18,2.0
78,636,637,32,46,63,1,regional,0.2,1.0,0.8,0.18,2.0
79,638,639,33,49,69,1,regional,0.18,0.9,0.8,0.18,2.0
